type_shoes,price,address,image_link
Chaussures enfant,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1585914_uploaded_image1_1580731711.42.png
Kito,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1512359_uploaded_image1_1579579323.93.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511833_uploaded_image1_1579558700.13.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511830_uploaded_image1_1579558573.88.png
Chaussures enfants,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511829_uploaded_image2_1579558573.28.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511826_uploaded_image1_1579558497.32.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511823_uploaded_image1_1579558444.32.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511821_uploaded_image1_1579558396.94.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511818_uploaded_image1_1579558331.82.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511816_uploaded_image1_1579558275.95.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511814_uploaded_image1_1579558224.95.png
Chaussures enfant,3 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511811_uploaded_image1_1579558154.5.png
Chaussures Enfant,11 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1511778_uploaded_image1_1579557587.72.png
Chaussures enfants,16 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1448407_uploaded_image1_1578503251.94.png
Chaussures enfant,10 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1413403_uploaded_image1_1577803440.88.png
Mocassins enfant,12 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1397249_uploaded_image1_1577462109.52.png
Chaussures enfant,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1344734_uploaded_image1_1576433290.47.png
Chaussures enfant,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1339730_uploaded_image1_1576322342.66.png
Chaussures enfants,14 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1339721_uploaded_image1_1576322240.65.png
Chaussures enfants,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1339714_uploaded_image1_1576322226.82.png
Chaussures enfant,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1339707_uploaded_image1_1576322034.91.png
Chaussures enfant,12 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1339699_uploaded_image1_1576321978.59.png
Chaussures enfants,12 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1339692_uploaded_image1_1576321891.98.png
Chaussures enfant,2 800CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1338999_uploaded_image1_1576310593.04.png
Chaussures enfant,11 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1334695_uploaded_image1_1576232786.39.png
