type_clothes,price,address,image_link
Robe princesse,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2276869_uploaded_image1_1592033655.jpg
Bretelles enfants,7 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2267737_uploaded_image1_1591884845.jpg
Vêtements de marques,Prix sur demande,Côte d'Ivoire,https://images.coinafrique.com/thumb_2222713_uploaded_image1_1591210709.31.jpeg
Vêtements enfants,14 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2212743_uploaded_image1_1591084961.jpg
Complet enfant en pagne,6 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2200336_uploaded_image1_1590858732.jpg
Complet gilet enfant - pagne,6 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2200230_uploaded_image1_1590856915.jpg
Tuniques 3 pièces enfant,12 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2153157_uploaded_image1_1590088769.jpg
Tunique enfant,11 000CFA,"Le plateau, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2153131_uploaded_image1_1590088472.jpg
Vêtements Efants,360 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2149992_uploaded_image1_1590053217.jpg
Bonnet pour bébé,2 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2106103_uploaded_image1_1589375996.jpg
Vêtement enfant,12 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2102162_uploaded_image1_1589315705.jpg
Vêtements enfant,12 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2101515_uploaded_image1_1589306083.jpg
Bretelles enfant  + nœud papillon,8 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_2032787_uploaded_image1_1588237389.17.jpeg
Haut fleuri,4 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2001807_uploaded_image1_1587734402.jpg
Vêtements enfants,9 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1970062_uploaded_image1_1587244527.23.jpeg
Vêtements Complet,Prix sur demande,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1941120_uploaded_image1_1586819825.74.png
Porte bébé - baby carrier,9 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1857076_uploaded_image1_1585327767.98.png
Mascottes,120 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1757805_uploaded_image1_1583580843.45.png
Mascottes,120 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1757791_uploaded_image1_1583580784.97.png
Vêtement enfant,360 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1702429_uploaded_image1_1582632177.81.png
Complet Chaussures et T shirt - enfant,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1700186_uploaded_image1_1582593706.8.png
Complet Chaussures et T shirt - enfant,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1700182_uploaded_image1_1582593534.74.png
Complet Chaussures et T shirt - enfant,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1700181_uploaded_image1_1582593423.75.png
Complet Chaussures et T shirt - enfant,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1700180_uploaded_image1_1582593324.14.png
Complet Chaussures et T shirt - enfant,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1700178_uploaded_image1_1582593252.14.png
Ensemble chemise,5 000CFA,"Bouaké, Côte d'Ivoire",https://images.coinafrique.com/thumb_1690734_uploaded_image1_1582403403.65.png
Robe pagne,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1675820_uploaded_image1_1582146062.78.png
Chemise enfant,6 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1647031_uploaded_image1_1581637856.13.png
Articles tricotés,3 500CFA,"Alépé, Côte d'Ivoire",https://images.coinafrique.com/thumb_1618891_uploaded_image1_1581223179.31.png
Objets tricotés,1 000CFA,"Alépé, Côte d'Ivoire",https://images.coinafrique.com/thumb_1618887_uploaded_image1_1581222636.36.png
